Time,Population,Inflow,Outflow,Stock Change,Stock,cars per 1000 people,Kilometrage per vehicle,Fuel efficiency,Carbon intensity,Total km driven,Total gasoline consumend,Total direct CO2 emissions
1950,544951,1157.864047,,,,,27200,9.07,2.4,,,
1951,555606,3085.651022,,,,,27200,9.07,2.4,,,
1952,566261,1314.644583,,,,,27200,9.07,2.4,,,
1953,576916,4843.545514,,,,,27200,9.07,2.4,,,
1954,587571,3575.745174,,,,,27200,9.07,2.4,,,
1955,598226,2610.542397,,,,,27200,9.07,2.4,,,
1956,607766.2,6049.388165,,,,,27200,9.07,2.4,,,
1957,617306.4,3197.065801,,,,,27200,9.07,2.4,,,
1958,626846.6,5753.977063,,,,,27200,9.07,2.4,,,
1959,636386.8,6526.578667,,,,,27200,9.07,2.4,,,
1960,645927,719.2723009,,,,,27200,9.07,2.4,,,
1961,659995.6,3132.875888,,,,,27200,9.07,2.4,,,
1962,674064.2,3674.182644,,,,,27200,9.07,2.4,,,
1963,688132.8,3544.525976,,,,,27200,9.07,2.4,,,
1964,702201.4,6042.928801,,,,,27200,9.07,2.4,,,
1965,716270,9367.235464,,,,,27200,9.07,2.4,,,
1966,736206.2,6212.29886,,,,,27200,9.07,2.4,,,
1967,756142.4,4266.59473,,,,,27200,9.07,2.4,,,
1968,776078.6,4419.973554,,,,,27200,9.07,2.4,,,
1969,796014.8,4863.323094,,,,,27200,9.07,2.4,,,
1970,815951,10789.10402,,,,,27200,9.07,2.4,,,
1971,834994.2,12197.10599,,,,,27200,9.07,2.4,,,
1972,854037.4,20288.0069,,,,,27200,9.07,2.4,,,
1973,873080.6,23373.99032,,,,,27200,9.07,2.4,,,
1974,892123.8,27567.94971,,,,,27200,9.07,2.4,,,
1975,911167,34790.1283,,,,,27200,9.07,2.4,,,
1976,925119.4,34766.9415,,,,,27200,9.07,2.4,,,
1977,939071.8,28423.88177,,,,,27200,9.07,2.4,,,
1978,953024.2,38188.44172,,,,,27200,9.07,2.4,,,
1979,966976.6,44003.48269,,,,,27200,9.07,2.4,,,
1980,980929,61008.02176,,,,,27200,9.07,2.4,,,
1981,995387,62951.92812,,,,,27200,9.07,2.4,,,
1982,1009845,45471.83911,,,,,27200,9.07,2.4,,,
1983,1024303,46989.5658,,,,,27200,9.07,2.4,,,
1984,1038761,97929.70245,,,,,27200,9.07,2.4,,,
1985,1053219,246926.4207,,,,,27200,9.07,2.4,,,
1986,1070993.2,189560.0339,,,,,27200,9.07,2.4,,,
1987,1088767.4,169567.0292,,,,,27200,9.07,2.4,,,
1988,1106541.6,213787.8421,,,,,27200,9.07,2.4,,,
1989,1124315.8,189120.2529,,,,,27200,9.07,2.4,,,
1990,1142090,190843.2527,,,,,27200,9.07,2.4,,,
1991,1155865.8,269124.6856,,,,,27200,9.07,2.4,,,
1992,1169641.6,454130.659,,,,,27200,9.07,2.4,,,
1993,1183417.4,650893.6825,,,,,27200,9.07,2.4,,,
1994,1197193.2,699527.9112,,,,,27200,9.07,2.4,,,
1995,1210969,754783.1479,,,,,27200,9.07,2.4,,,
1996,1222166,787853.6607,,,,,27200,9.07,2.4,,,
1997,1233363,1046749.342,,,,,27200,9.07,2.4,,,
1998,1244560,845216.7179,,,,,27300,9.07,2.4,,,
1999,1255757,997514.9398,,,,,26400,9.07,2.4,,,
2000,1266954,1304599.044,,,,,26400,9.07,2.4,,,
2001,1276013.8,1602565.015,,,,,26400,9.07,2.4,,,
2002,1285073.6,2320646.128,,,,,26000,9.07,2.4,,,
2003,1294133.4,3043941.799,,,,,25642.85714,8.924642857,2.4,,,
2004,1303193.2,2901349.637,,,,,25285.71429,8.779285714,2.4,,,
2005,1312253,4355222.189,,,,,24928.57143,8.633928571,2.4,,,
2006,1320631.6,5330733.844,,,,,24571.42857,8.488571429,2.4,,,
2007,1329010.2,6305879.464,,,,,24214.28571,8.343214286,2.4,,,
2008,1337388.8,7067520.637,,,,,23857.14286,8.197857143,2.4,,,
2009,1345767.4,,,,,33.79005102,23500,8.0525,2.4,,,
2010,1354146,,,,,39.76020408,23142.85714,7.907142857,2.4,,,
2011,1362516.4,,,,,46.61045918,22785.71429,7.761785714,2.4,,,
2012,1370886.8,,,,,54.34081633,22428.57143,7.616428571,2.4,,,
2013,1379257.2,,,,,62.95127551,22071.42857,7.471071429,2.4,,,
2014,1387627.6,,,,,72.44183673,21714.28571,7.325714286,2.4,,,
2015,1395998,,,,,82.8125,21357.14286,7.180357143,2.4,,,
2016,1403029.4,,,,,94.06326531,21000,7.035,2.4,,,
2017,1410060.8,,,,,106.1941327,20642.85714,6.889642857,2.4,,,
2018,1417092.2,,,,,119.205102,20285.71429,6.744285714,2.4,,,
2019,1424123.6,,,,,133.0961735,19928.57143,6.598928571,2.4,,,
2020,1431155,,,,,147.8673469,19571.42857,6.453571429,2.4,,,
2021,1435552,,,,,162.7722675,19214.28571,6.308214286,2.4,,,
2022,1439949,,,,,177.4769309,18857.14286,6.162857143,2.4,,,
2023,1444346,,,,,191.9672486,18500,6.0175,2.4,,,
2024,1448743,,,,,206.2289394,18142.85714,5.872142857,2.4,,,
2025,1453140,,,,,220.2477222,17785.71429,5.726785714,2.4,,,
2026,1455005.6,,,,,234.0093159,17428.57143,5.581428571,2.4,,,
2027,1456871.2,,,,,247.4994394,17071.42857,5.436071429,2.4,,,
2028,1458736.8,,,,,260.7038117,16714.28571,5.290714286,2.4,,,
2029,1460602.4,,,,,273.6081516,16357.14286,5.145357143,2.4,,,
2030,1462468,,,,,286.198178,16000,5,2.4,,,
2031,1462444.6,,,,,298.45961,15950,5,2.4,,,
2032,1462421.2,,,,,310.3781662,15900,5,2.4,,,
2033,1462397.8,,,,,321.9395658,15850,5,2.4,,,
2034,1462374.4,,,,,333.1295275,15800,5,2.4,,,
2035,1462351,,,,,343.9337703,15750,5,2.4,,,
2036,1460891.8,,,,,354.3380131,15700,5,2.4,,,
2037,1459432.6,,,,,364.3279748,15650,5,2.4,,,
2038,1457973.4,,,,,373.8893743,15600,5,2.4,,,
2039,1456514.2,,,,,383.0079306,15550,5,2.4,,,
2040,1455055,,,,,391.6693624,15500,5,2.4,,,
2041,1452101.8,,,,,399.8593888,15450,5,2.4,,,
2042,1449148.6,,,,,407.5637287,15400,5,2.4,,,
2043,1446195.4,,,,,414.7681008,15350,5,2.4,,,
2044,1443242.2,,,,,421.4582243,15300,5,2.4,,,
2045,1440289,,,,,427.6198178,15250,5,2.4,,,
2046,1435640.2,,,,,433.2386005,15200,5,2.4,,,
2047,1430991.4,,,,,438.3002911,15150,5,2.4,,,
2048,1426342.6,,,,,442.7906087,15100,5,2.4,,,
2049,1421693.8,,,,,446.695272,15050,5,2.4,,,
2050,1417045,,,,,450,15000,5,2.4,,,
